,평균 버스 이용량 (명),1~2인가구,3인 가구 이상,30~59세 인구,비만도 분포,가구,수요,인프라,경제,value,매장명,target
147,-0.542720518,-0.72554527,0.943258051,1.008112777,1.156797514,-1.885269525,-0.953207214,-0.729173113,0.481065964,2.010810811,담꾹 솔샘점,1
148,-0.486126079,0.352476511,1.202321265,2.405805961,-0.114413036,-1.205886538,0.020761147,-0.531855506,0.34059012,1.684848485,담꾹 수락산점,0
149,0.098183238,0.335164784,-0.933214262,1.008112777,1.156797514,1.404065392,-0.09260522,0.550297812,-0.794696396,1.71388102,담꾹 수유시장점,0
150,-0.883394583,-0.4740851,-0.349387266,-1.212051207,-1.086515221,-0.104864562,-0.803677806,-0.202399853,-0.227779078,2.173374613,담꾹 신금호점,1
151,-0.512496826,-0.428898558,-0.835464637,0.610444342,-0.450909946,-0.020688376,0.57369729,-0.651419071,-0.688987353,1.708333333,담꾹 신길보라매역점,0
152,1.482197584,-1.218489361,1.22742636,1.49990467,1.493294425,-1.067560582,-0.010500727,0.261078188,0.54178934,1.464285714,담꾹 신목동점,0
153,-1.10723447,0.269732324,-0.005394049,0.169158749,-0.600464128,1.970349425,-0.462162913,-0.21563908,-0.136263986,2.2,담꾹 신성시장점,1
154,-1.092122625,-0.698257294,-0.592425951,-0.784712961,0.782912058,-0.329544135,-0.672933688,-1.273984001,-0.612483458,2.028571429,담꾹 신이문점,1
155,-0.733868061,-1.4802192,-0.10100707,1.926439886,1.493294425,-0.670414495,-0.92227432,-0.40023581,-0.654994105,2.27739726,담꾹 신정네거리역점,1
156,0.336535111,-0.257248383,-0.189141978,0.807059663,1.642848607,-0.723458532,-0.661493821,-0.306257163,-0.510827384,1.955334988,담꾹 쌍문역점,1
157,-0.19821658,-0.616686783,-0.83760124,-0.047785887,1.642848607,0.573767412,-0.787337906,-0.115050884,-1.125415085,2.031746032,담꾹 쌍문점,1
158,1.01723724,1.335430502,0.438485396,-0.441396912,0.670746422,0.52419745,0.513276483,-0.867981287,-0.673404522,2.736263736,담꾹 양원역점,1
