동,1G,2G,3인세대,4인세대,5인세대,3G,6인세대,7인세대,8인세대,9인세대,10인세대 이상,4G
잠실2동,"1,653","2,113","3,111","3,833",665,"7,609",112,21,6,0,2,141
잠실3동,"1,822","2,827","3,173","3,245",594,"7,012",122,30,9,3,2,166
장지동,"3,665","3,184","2,650","1,983",449,"5,082",104,14,6,1,1,126
위례동,"2,061","2,702","3,644","4,524","1,253","9,421",217,38,14,3,1,273
강일동,"3,484","3,541","2,792","2,391",702,"5,885",111,21,1,2,1,136
명일1동,"2,569","2,496","2,424","2,071",372,"4,867",70,16,5,1,0,92
명일2동,"1,740","1,284","1,428","1,604",341,"3,373",63,17,5,1,1,87
고덕1동,"1,372","1,558","2,111","2,509",445,"5,065",76,17,9,0,1,103
고덕2동,"2,369","2,206","2,045","1,872",336,"4,253",50,14,2,2,2,70
암사2동,"2,067","1,580","1,410","1,048",203,"2,661",41,10,2,1,0,54
암사3동,"1,097","1,484","1,606","1,550",314,"3,470",82,23,5,4,2,116
천호1동,"5,824","3,223","2,137","1,369",328,"3,834",71,10,5,3,2,91
천호3동,"7,893","3,028","1,923","1,159",269,"3,351",58,16,4,1,1,80
성내1동,"2,686","2,028","1,795","1,406",282,"3,483",75,19,1,1,0,96
성내2동,"7,031","2,793","1,699",948,203,"2,850",47,17,5,2,0,71
성내3동,"4,443","2,571","1,829","1,423",303,"3,555",50,16,7,2,0,75
둔촌1동,26,5,4,4,0,8,0,0,0,0,0,0
둔촌2동,"3,448","2,553","2,089","1,797",324,"4,210",69,9,1,0,1,80
암사1동,"6,606","3,897","2,851","2,083",405,"5,339",76,26,4,1,0,107
천호2동,"9,043","4,033","2,501","1,559",336,"4,396",80,19,4,2,1,106
길동,"9,918","5,052","3,648","2,513",560,"6,721",136,40,10,3,1,190
상일1동,"2,234","3,028","3,605","3,849",690,"8,144",124,26,5,4,5,164
