,동,신혼
186,증산동,68
187,수색동,64
188,진관동,126
189,불광동,98
190,응암동,87
191,역촌동,119
192,천연동,63
193,홍제동,91
194,홍제동,50
195,홍제동,53
196,홍은동,73
197,홍은동,87
198,남가좌동,35
199,남가좌동,104
200,북가좌동,42
201,북가좌동,113
202,충현동,89
203,북아현동,66
204,신촌동,76
205,연희동,109
206,용강동,91
207,대흥동,66
208,염리동,74
209,신수동,75
210,서교동,103
211,합정동,90
212,망원동,68
213,망원동,85
214,연남동,58
215,성산동,79
216,성산동,194
217,상암동,68
218,도화동,91
219,서강동,74
220,공덕동,166
221,아현동,138
222,목동,57
223,목동,164
224,목동,118
225,목동,74
226,신월동,79
227,신월동,49
228,신월동,41
229,신월동,52
230,신월동,63
231,신월동,57
232,신월동,64
233,신정동,35
234,신정동,31
235,신정동,164
236,신정동,43
237,신정동,65
238,목동,48
239,신정동,135
240,염창동,201
241,등촌동,216
242,등촌동,86
243,등촌동,142
244,화곡본동,137
245,화곡동,59
246,화곡동,71
247,화곡동,73
248,화곡동,104
249,화곡동,75
250,가양동,211
251,가양동,58
252,가양동,94
253,발산동,85
254,공항동,124
255,방화동,147
256,방화동,101
257,방화동,125
258,화곡동,406
259,우장산동,99
260,신도림동,181
261,구로동,160
262,구로동,77
263,구로동,70
264,구로동,140
265,고척동,85
266,고척동,68
267,개봉동,100
268,개봉동,56
269,오류동,114
270,오류동,96
271,수궁동,84
272,가리봉동,42
273,구로동,82
274,개봉동,147
275,항동,60
276,가산동,176
277,독산동,339
278,독산동,73
279,독산동,126
280,독산동,60
281,시흥동,138
282,시흥동,55
283,시흥동,32
284,시흥동,85
285,시흥동,65
286,여의동,105
287,당산동,147
288,당산동,203
289,양평동,148
290,양평동,166
291,신길동,94
292,신길동,68
293,신길동,55
294,신길동,42
295,신길동,73
296,신길동,67
297,대림동,54
298,대림동,54
299,대림동,79
300,영등포본동,105
301,영등포동,225
302,도림동,123
303,문래동,170
304,노량진동,28
305,상도동,161
306,상도동,87
307,상도동,104
308,상도동,103
309,사당동,138
310,사당동,77
311,사당동,43
312,사당동,80
313,대방동,126
314,신대방동,91
315,신대방동,88
316,흑석동,102
317,노량진동,126
318,사당동,127
319,보라매동,121
320,청림동,64
321,행운동,120
322,낙성대동,66
323,중앙동,64
324,인헌동,122
325,남현동,87
326,서원동,139
327,신원동,64
328,서림동,105
329,신사동,83
330,신림동,105
331,난향동,36
332,조원동,97
333,대학동,101
334,은천동,116
335,성현동,100
336,청룡동,155
337,난곡동,87
338,삼성동,50
339,미성동,99
340,서초동,89
341,서초동,95
342,서초동,163
343,서초동,60
344,잠원동,51
345,반포본동,5
346,반포동,94
347,반포동,22
348,반포동,43
349,반포동,49
350,방배본동,48
351,방배동,67
352,방배동,75
353,방배동,41
354,방배동,81
355,양재동,168
356,양재동,90
357,내곡동,65
358,신사동,39
359,논현동,99
360,논현동,98
361,삼성동,54
362,삼성동,84
363,대치동,23
364,대치동,58
365,역삼동,222
366,역삼동,85
367,도곡동,47
368,도곡동,67
369,개포동,16
370,개포동,86
371,일원본동,50
372,일원동,71
373,일원동,-
374,수서동,70
375,세곡동,129
376,압구정동,66
377,청담동,81
378,대치동,54
379,개포동,67
380,개포동,100
381,풍납동,48
382,풍납동,78
383,거여동,48
384,거여동,122
385,마천동,42
386,마천동,56
387,방이동,53
388,방이동,147
389,오륜동,27
390,오금동,136
391,송파동,151
392,송파동,65
393,석촌동,179
394,삼전동,156
395,가락본동,146
396,가락동,91
397,가락동,92
398,문정동,106
399,문정동,191
400,장지동,134
401,위례동,105
402,잠실본동,126
403,잠실동,41
404,잠실동,45
405,잠실동,30
406,잠실동,69
407,잠실동,71
408,강일동,64
409,상일동,-
410,명일동,112
411,명일동,35
412,고덕동,44
413,고덕동,86
414,암사동,67
415,암사동,30
416,천호동,175
417,천호동,114
418,성내동,61
419,성내동,85
420,성내동,51
421,둔촌동,19
422,둔촌동,60
423,암사동,143
424,천호동,189
425,길동,208
426,상일동,85
427,상일동,17
